OID_;ID;ADRCD;SUBCD;LandID;Land;BezirkID;Bezirk;ArtLang;NameLang;Plz;Ort;Strasse;Hnr;Telefon;IntVorwahl;NatVorwahl;TelefonNummer;Durchwahl;FaxDurchwahl;EMailAdresse;X;Y
1;1428;5817611;001;6;Steiermark;622;Hartberg-Fürstenfeld;Polizeiinspektion;Ilz;8262;Ilz;Ilz;38;+43 59133 6222 100;+43;59133;6222;100;;PI-ST-Ilz@polizei.gv.at;15,923626909999999;47,086669919999999
2;506;5212254;001;1;Burgenland;107;Neusiedl am See;Polizeiinspektion;Kittsee;2421;Kittsee;Preßburger Straße;6;+43 59133 1142 100;+43;59133;1142;100;109;PI-B-Kittsee@polizei.gv.at;17,070291529999999;48,092277529999997
3;446;7063018;002;1;Burgenland;101;Eisenstadt (Stadt);Landespolizeidirektion;Burgenland;7000;Eisenstadt;Neusiedler Straße;84;+43 59133 10;+43;59133;10;;;LPD-B@polizei.gv.at;16,542800000000000;47,845700000000001
4;454;5153854;001;1;Burgenland;101;Eisenstadt (Stadt);Stadtpolizeikommando/Bezirkspolizeikommando;Eisenstadt/Eisenstadt-Umgebung;7000;Eisenstadt;Ruster Straße;124;+43 59133 15 1823;+43;59133;15;1823;;SPK-B-Eisenstadt@polizei.gv.at;16,530600000000000;47,829599999999999
5;455;7063018;002;1;Burgenland;101;Eisenstadt (Stadt);Polizeiinspektion;Eisenstadt-Neusiedlerstraße;7000;Eisenstadt;Neusiedler Straße;84/4;+43 59133 1581 100;+43;59133;1581;100;109;PI-B-Eisenstadt@polizei.gv.at;16,542800000000000;47,845700000000001
6;456;5153749;001;1;Burgenland;101;Eisenstadt (Stadt);Polizeiinspektion;Eisenstadt-Rusterstraße;7000;Eisenstadt;Ruster Straße;10a;+43 59133 1582 100;+43;59133;1582;100;109;PI-B-Eisenstadt-Mitte@polizei.gv.at;16,520275120000001;47,844421390000001
7;458;5155719;001;1;Burgenland;102;Rust (Stadt);Polizeiinspektion;Rust am See-Seedienst;7071;Rust am See;Rathausplatz;17;+43 59133 1583 100;+43;59133;1583;100;109;PI-B-Rust@polizei.gv.at;16,674507400000000;47,799746949999999
8;459;7384988;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Hornstein;7053;Hornstein;Neufelder Straße;19;+43 59133 1104 100;+43;59133;1104;100;109;PI-B-Hornstein@polizei.gv.at;16,432267790000001;47,874277759999998
9;464;5162640;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Neufeld an der Leitha;2491;Neufeld an der Leitha;Hauptstraße;12/1;+43 59133 1108 100;+43;59133;1108;100;109;PI-B-Neufeld-an-der-Leitha@polizei.gv.at;16,375562200000001;47,870449940000000
10;465;7306958;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Purbach am Neusiedler See;7083;Purbach am Neusiedler See;Eisenstädterstraße;37;+43 59133 1109 100;+43;59133;1109;100;109;PI-B-Purbach-am-Neusiedlersee@polizei.gv.at;16,688610080000000;47,910884860000003
11;466;5167329;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Schützen am Gebirge;7081;Schützen am Gebirge;Dorfplatz;5;+43 59133 1111 100;+43;59133;1111;100;109;PI-B-Schuetzen-am-Gebirge@polizei.gv.at;16,625499949999998;47,850611270000002
12;467;7570148;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Sankt Margarethen im Burgenland;7062;Sankt Margarethen im Burgenland;Siegendorfer Straße;20;+43 59133 1113 100;+43;59133;1113;100;109;PI-B-St-Margarethen@polizei.gv.at;16,604050600000001;47,801276979999997
13;469;7062521;001;1;Burgenland;103;Eisenstadt-Umgebung;Polizeiinspektion;Wulkaprodersdorf;7041;Wulkaprodersdorf;Ödenburger Straße;13a;+43 59133 1100 100;+43;59133;1100;100;109;PI-B-Wulkaprodersdorf@polizei.gv.at;16,510131840000000;47,795440679999999
14;472;5175231;001;1;Burgenland;104;Güssing;Bezirkspolizeikommando;Güssing;7540;Güssing;Hauptstraße;14;+43 59133 1200 305;+43;59133;1200;305;309;BPK-B-Guessing@polizei.gv.at;16,320003520000000;47,057994850000000
15;477;7572308;001;1;Burgenland;104;Güssing;Polizeiinspektion;Sankt Michael im Burgenland;7535;Sankt Michael im Burgenland;Schulstraße;398;+43 59133 1205 100;+43;59133;1205;100;109;PI-B-St-Michael@polizei.gv.at;16,270865180000001;47,125527329999997
16;479;5181578;001;1;Burgenland;104;Güssing;Polizeiinspektion (FGP-SB);Strem (FGP-SB);7522;Strem;Lindenstraße;3;+43 59133 1207 100;+43;59133;1207;100;109;PI-B-Strem@polizei.gv.at;16,412157350000001;47,045812620000000
17;481;5185843;001;1;Burgenland;105;Jennersdorf;Bezirkspolizeikommando;Jennersdorf;8380;Jennersdorf;Hauptstraße;51;+43 59133 1210 305;+43;59133;1210;305;309;BPK-B-Jennersdorf@polizei.gv.at;16,131904609999999;46,936855319999999
