name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
Lagerhaus Tankstelle,0,0,2.079,9640,at,Kärnten,Hermagor,Kötschach,Kötschach 153,3.11.2022,10:8:45,13.0032407,46.6721177
Turmöl Quick,0,1.739,1.999,2091,at,Niederösterreich,Horn,Langau,Langau 195,3.11.2022,10:8:59,15.7170359,48.8296425
LMEnergy Express,0,1.744,0,5723,at,Salzburg,Zell am See,Uttendorf,Moosweg 3,3.11.2022,10:9:32,12.5750298,47.281193
Genol Lagerhaus Tankstelle,0,0,2.049,3851,at,Niederösterreich,Waidhofen/Thaya,Kautzen,Illmauerstraße 1,3.11.2022,10:9:9,15.240267,48.9298793
SB-Tankstelle Ofenböck,0,1.745,0,2620,at,Niederösterreich,Neunkirchen,Neunkirchen,Föhrenwaldstrasse 35,3.11.2022,10:9:5,16.0870434,47.7326535
Turmöl Quick,0,1.694,1.983,4048,at,Oberösterreich,Urfahr Umgebung,Puchenau,Hammerschmiede 3,3.11.2022,10:9:26,14.2412365,48.312442
AVIA Xpress (Automaten-Tankstelle),0,1.723,2.019,4563,at,Oberösterreich,Kirchdorf,Micheldorf,Weinzierler Brücke 72,3.11.2022,10:9:21,14.129979,47.8940558
OMV - Hermagor Gailtalstraße 12,0,1.789,2.069,9620,at,Kärnten,Hermagor,Hermagor,Gailtalstrasse 12,3.11.2022,10:8:45,13.37877,46.62964
Turmöl Quick,0,1.734,1.994,7551,at,Burgenland,Güssing,Stegersbach,Wienerstraße 56,3.11.2022,10:8:39,16.163935,47.168488
Tankstopp,0,1.691,1.983,3100,at,Niederösterreich,St. Pölten,St.Pölten,Praterstraße 10,3.11.2022,10:8:52,15.6222046,48.2099825
Lagerhaus-Genol,0,1.719,0,7141,at,Burgenland,Neusiedl am See,Podersdorf,Weinberggasse 1,3.11.2022,10:8:41,16.8368875,47.8565454
Turmöl Quick,0,1.685,1.985,8510,at,Steiermark,Deutschlandsberg,Stainz,Grazer Straße 33,3.11.2022,10:9:34,15.2678969,46.8971308
avanti - Steyr Ennser Straße 16,0,1.721,2.013,4400,at,Oberösterreich,Steyr Land,Steyr,Ennser Strasse 16,3.11.2022,10:9:13,14.42064,48.05739
