,index,created_at,id,text,partei,score,Stimmung
0,0,2022-08-18 09:32:58,1560198056229879808,"Ihr müsst verstehen #diegruenen #Neos #spoe haben jetzt 4 Monate lang Corona sind im Urlaub, und müssen jetzt über Seen reden wo sie Urlaub machen.",SPÖ,0.128,neutral
1,1,2022-08-18 06:59:03,1560159321136275456,"Wenn zusätzlich zum Sonntag zwei weitere Tage frei sind, hat die Arbeitszeitverkürzung für Arbeitnehmer:innen viele Vorteile. Welche sind deine?  Hier unser #SPÖ Modell zur Arbeitszeitverkürzung https://t.co/NF2NczqwWo https://t.co/NM0rWnZ6xR",SPÖ,0.6369,positiv
2,2,2022-08-18 06:40:53,1560154750250881025,"#SPÖ - Pam: Preisdeckel! Wir müssen die ""einfachen Leute"" entlasten!

#SPÖ - Ludwig: na nix, mach ma alles immer teurer, in der letzten Zeit hat er alle Preiserhöhungen ohne Muh und Mäh abgesegnet.

Wie sagte es Goethe? Des Pudels wahrer Kern... https://t.co/gRDZ1lfD5Y",SPÖ,0.0,neutral
3,3,2022-08-18 06:08:21,1560146564865314818,"Was Kickl einst verhindert hat, wird nun umgesetzt unter Mithilfe von #SPÖ #NEOS #DieGrünen #ÖVP - der #Migrationspakt 💁‍♂🙄",SPÖ,0.0,neutral
4,4,2022-08-18 05:34:35,1560138066920177665,"https://t.co/UejMyhgW6p

und das geht durch! Unglaublich was für ein Fail Österreichs Journalisten sind.

Täglich hält die Bundes #SPÖ PK´s ab und will alles deckeln, senken und Subventionen erhöhen aber die Wiener #SPÖ casht unverschämt ab und die 4 Macht SCHWEIGT",SPÖ,0.0,neutral
5,5,2022-08-17 22:42:41,1560034406827528193,"Die #ak (#spö) hat nicht den Anspruch, sinnvolle Konzepte anzubieten. Worum es ihr geht, ist immer wieder die Botschaft zu verbreiten, was sie den Reichen alles wegnehmen wollen, um es den Armen zu geben. Schliesslich zählt sich doch die Mehrheit zu den Armen.
#zib2",SPÖ,0.0,neutral
6,6,2022-08-17 16:13:08,1559936372978470912,"Another day, another awesome #podcast featuring @EthernetAllianc Chair, @petergjones of @Cisco. This time, Peter sits down with @packetpushers to talk about Single-Pair #Ethernet, #SPE #standards, #SPoE, much more. It's worth a listen, so tune in at: https://t.co/0IhAuVxjfx https://t.co/PsEVjYi9Ic",SPÖ,0.0,neutral
7,7,2022-08-17 14:09:51,1559905348215078913,#SPÖ Chefin besucht die Stadt. Die Stadtpartei legt auf FB den Fokus auf die wichtigen Dinge ;) https://t.co/2tS4gx8Vu2,SPÖ,0.5574,positiv
8,8,2022-08-17 13:45:31,1559899226796089344,"@kenwinkler @pablodiabolo Wir werden es ja dann sehen. Auf jeden Fall bekommt weder die #ÖVP,  noch die #SPÖ meine Stimme. Das weiß ich zumindest mit 100%",SPÖ,0.0,neutral
9,9,2022-08-17 12:59:17,1559887588634365952,@florian_covi Wer #SPÖ wählt wählt die Ampel!,SPÖ,0.0,neutral
10,0,2022-08-18 09:01:54,1560190238135402496,"Vorschlag zur Güte: wir machen ein #crowdfunding auf und bestechen die Regierung selbst. 
#Korruption #oevp",ÖVP,-0.0516,neutral
11,1,2022-08-18 08:56:55,1560188986160734209,"Tja die #ÖVP lasst sich mit den Nasenring durch die Arena treiben , ich glaub die regieren garnicht mehr , die haben alles den #Grünen übergeben , warum ist #Neahmmer so unfähig https://t.co/fPh576ocHQ",ÖVP,-0.5949,negativ
12,2,2022-08-18 08:52:57,1560187987874521088,Wieviel Nehammer Skandale braucht es bis er zurück tritt? Der #oevp Kickl? https://t.co/8OAdiwVF4D,ÖVP,-0.5661,negativ
